--------------------------------------------------------------------------
The library attempted to open the following supporting CUDA libraries,
but each of them failed.  CUDA-aware support is disabled.
libcuda.so.1: cannot open shared object file: No such file or directory
libcuda.dylib: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.so.1: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.dylib: cannot open shared object file: No such file or directory
If you are not interested in CUDA-aware support, then run with
--mca mpi_cuda_support 0 to suppress this message.  If you are interested
in CUDA-aware support, then try setting LD_LIBRARY_PATH to the location
of libcuda.so.1 to get passed this issue.
--------------------------------------------------------------------------
x= -3242500.0 , y= -90027.1567891973 , lat= -60.77146378828724 , lon= -91.59039361368832
x= -3242000.0 , y= -90527.30682670667 , lat= -60.77566130301532 , lon= -91.59947105701737
x= -3241500.0 , y= -91027.45686421606 , lat= -60.779858191641495 , lon= -91.60855122037763
x= -3241000.0 , y= -91527.60690172543 , lat= -60.784054453801716 , lon= -91.61763410453558
x= -3240500.0 , y= -92027.75693923481 , lat= -60.7882500891318 , lon= -91.62671971025762
x= -3240000.0 , y= -92527.90697674418 , lat= -60.79244509726751 , lon= -91.63580803830995
x= -3239500.0 , y= -93028.05701425356 , lat= -60.79663947784432 , lon= -91.64489908945882
x= -3239000.0 , y= -93528.20705176295 , lat= -60.80083323049766 , lon= -91.6539928644703
x= -3238500.0 , y= -94028.35708927232 , lat= -60.80502635486279 , lon= -91.66308936411036
x= -3238000.0 , y= -94528.5071267817 , lat= -60.80921885057482 , lon= -91.67218858914497
x= -3237500.0 , y= -95028.65716429107 , lat= -60.81341071726869 , lon= -91.6812905403399
x= -3237000.0 , y= -95528.80720180045 , lat= -60.81760195457922 , lon= -91.69039521846092
x= -3236500.0 , y= -96028.95723930982 , lat= -60.82179256214111 , lon= -91.69950262427366
x= -3236000.0 , y= -96529.10727681921 , lat= -60.8259825395889 , lon= -91.70861275854365
x= -3235500.0 , y= -97029.25731432858 , lat= -60.830171886556904 , lon= -91.71772562203634
x= -3235000.0 , y= -97529.40735183796 , lat= -60.83436060267941 , lon= -91.72684121551714
x= -3234500.0 , y= -98029.55738934733 , lat= -60.838548687590496 , lon= -91.73595953975126
x= -3234000.0 , y= -98529.70742685671 , lat= -60.84273614092412 , lon= -91.7450805955039
x= -3233500.0 , y= -99029.8574643661 , lat= -60.84692296231404 , lon= -91.75420438354011
x= -3233000.0 , y= -99530.00750187547 , lat= -60.851109151393935 , lon= -91.76333090462491
x= -3232500.0 , y= -100030.15753938485 , lat= -60.85529470779734 , lon= -91.77246015952313
x= -3232000.0 , y= -100530.30757689422 , lat= -60.859479631157555 , lon= -91.78159214899962
x= -3231500.0 , y= -101030.4576144036 , lat= -60.86366392110785 , lon= -91.79072687381901
x= -3231000.0 , y= -101530.60765191297 , lat= -60.867847577281275 , lon= -91.79986433474593
x= -3230500.0 , y= -102030.75768942236 , lat= -60.87203059931074 , lon= -91.80900453254485
x= -3230000.0 , y= -102530.90772693173 , lat= -60.87621298682906 , lon= -91.81814746798017
x= -3229500.0 , y= -103031.05776444111 , lat= -60.88039473946883 , lon= -91.8272931418162
x= -3229000.0 , y= -103531.20780195048 , lat= -60.88457585686255 , lon= -91.8364415548171
x= -3228500.0 , y= -104031.35783945986 , lat= -60.88875633864256 , lon= -91.84559270774699
x= -3228000.0 , y= -104531.50787696925 , lat= -60.89293618444105 , lon= -91.85474660136985
x= -3227500.0 , y= -105031.65791447862 , lat= -60.89711539389008 , lon= -91.86390323644957
x= -3227000.0 , y= -105531.807951988 , lat= -60.901293966621544 , lon= -91.87306261374995
x= -3226500.0 , y= -106031.95798949737 , lat= -60.90547190226721 , lon= -91.88222473403465
x= -3226000.0 , y= -106532.10802700675 , lat= -60.909649200458674 , lon= -91.89138959806726
x= -3225500.0 , y= -107032.25806451612 , lat= -60.9138258608274 , lon= -91.90055720661124
x= -3225000.0 , y= -107532.40810202551 , lat= -60.91800188300472 , lon= -91.90972756043
x= -3224500.0 , y= -108032.55813953489 , lat= -60.922177266621794 , lon= -91.91890066028678
x= -3224000.0 , y= -108532.70817704426 , lat= -60.926352011309675 , lon= -91.92807650694473
x= -3223500.0 , y= -109032.85821455363 , lat= -60.93052611669919 , lon= -91.93725510116693
x= -3223000.0 , y= -109533.00825206301 , lat= -60.93469958242114 , lon= -91.94643644371631
x= -3222500.0 , y= -110033.1582895724 , lat= -60.93887240810607 , lon= -91.95562053535566
x= -3222000.0 , y= -110533.30832708177 , lat= -60.94304459338445 , lon= -91.9648073768478
x= -3221500.0 , y= -111033.45836459115 , lat= -60.94721613788655 , lon= -91.97399696895532
x= -3221000.0 , y= -111533.60840210052 , lat= -60.95138704124253 , lon= -91.9831893124407
x= -3220500.0 , y= -112033.7584396099 , lat= -60.95555730308237 , lon= -91.99238440806639
x= -3220000.0 , y= -112533.90847711927 , lat= -60.95972692303597 , lon= -92.00158225659463
x= -3219500.0 , y= -113034.05851462866 , lat= -60.963895900733014 , lon= -92.01078285878765
x= -3219000.0 , y= -113534.20855213804 , lat= -60.968064235803105 , lon= -92.01998621540747
x= -3218500.0 , y= -114034.35858964741 , lat= -60.972231927875626 , lon= -92.02919232721608
x= -3218000.0 , y= -114534.50862715679 , lat= -60.97639897657983 , lon= -92.03840119497532
x= -3217500.0 , y= -115034.65866466616 , lat= -60.980565381544864 , lon= -92.04761281944691
x= -3217000.0 , y= -115534.80870217555 , lat= -60.98473114239976 , lon= -92.05682720139248
x= -3216500.0 , y= -116034.95873968492 , lat= -60.988896258773266 , lon= -92.0660443415735
x= -3216000.0 , y= -116535.1087771943 , lat= -60.99306073029412 , lon= -92.07526424075142
x= -3215500.0 , y= -117035.25881470367 , lat= -60.997224556590865 , lon= -92.08448689968746
x= -3215000.0 , y= -117535.40885221305 , lat= -61.00138773729186 , lon= -92.0937123191428
x= -3214500.0 , y= -118035.55888972244 , lat= -61.005550272025395 , lon= -92.10294049987846
x= -3214000.0 , y= -118535.70892723181 , lat= -61.00971216041955 , lon= -92.11217144265535
x= -3213500.0 , y= -119035.85896474119 , lat= -61.01387340210227 , lon= -92.12140514823433
x= -3213000.0 , y= -119536.00900225056 , lat= -61.01803399670139 , lon= -92.13064161737601
x= -3212500.0 , y= -120036.15903975994 , lat= -61.02219394384455 , lon= -92.13988085084102
x= -3212000.0 , y= -120536.30907726931 , lat= -61.02635324315928 , lon= -92.14912284938976
x= -3211500.0 , y= -121036.4591147787 , lat= -61.03051189427294 , lon= -92.15836761378259
x= -3211000.0 , y= -121536.60915228807 , lat= -61.03466989681278 , lon= -92.16761514477967
x= -3210500.0 , y= -122036.75918979745 , lat= -61.038827250405866 , lon= -92.17686544314114
x= -3210000.0 , y= -122536.90922730682 , lat= -61.04298395467908 , lon= -92.18611850962692
x= -3209500.0 , y= -123037.0592648162 , lat= -61.047140009259266 , lon= -92.19537434499686
x= -3209000.0 , y= -123537.20930232559 , lat= -61.051295413773026 , lon= -92.20463295001069
x= -3208500.0 , y= -124037.35933983496 , lat= -61.05545016784686 , lon= -92.21389432542797
x= -3208000.0 , y= -124537.50937734434 , lat= -61.05960427110711 , lon= -92.22315847200815
